"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3D_SYNC";"";"65100516121";"65100516121";"WR-COM SMT Horizontal 5 Contacts Mini USB Typ B=>Code : Con_I-O_COM_MiniUSB_65100516121";"";"";"";"";
"C1";"4.7uF";"CPOL-EUCT6032";"CT6032";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C2";"4.7uF";"CPOL-EUCT6032";"CT6032";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C3";"4.7uF";"CPOL-EUCT6032";"CT6032";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C4";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C5";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C6";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C7";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C8";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C9";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C10";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C11";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C12";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C13";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C14";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C15";"1.0uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"CON2";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"D1";"";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"";
"F1";"100mA";"PTCFUSE-1206";"R1206";"PTC fuses, resettable thermistors";"";"";"";"";
"IC1";"74HC00D";"74HC00D";"SO14";"Quad 2-input NAND gate";"";"";"";"";
"IC2";"TL084";"TL084";"SOIC-14";"Texas Instruments TL084 JFET General Purpose Op-Amp";"";"";"";"";
"IC3";"TL084";"TL084";"SOIC-14";"Texas Instruments TL084 JFET General Purpose Op-Amp";"";"";"";"";
